9.370083,2.004714,-2.8113327,,2498618
9.370283,2.0038671,-2.810646,,2498938
9.369249,2.003498,-2.8107996,,2499318
9.369049,2.004345,-2.8114862,,2499398
9.368849,2.0051918,-2.812173,,2499598
9.369049,2.004345,-2.8114862,,2499698
9.370283,2.0038671,-2.8106463,,2499738
9.371317,2.0042362,-2.8104928,,2499898
9.372351,2.0046053,-2.8103392,,2499958
9.373384,2.0049744,-2.8101857,,2500078
9.372551,2.0037584,-2.8096526,,2500098
9.367582,2.001066,-2.8097336,,2500118
9.362412,1.9992204,-2.8105013,,2500138
9.358678,1.9960501,-2.8097425,,2500158
9.357011,1.993618,-2.8086765,,2500178
9.353708,1.9933577,-2.8098235,,2500198
9.349372,1.9927281,-2.811124,,2500218
9.339867,1.9902531,-2.8131924,,2500238
9.32746,1.9858238,-2.8150346,,2500258
9.312785,1.9815031,-2.8178704,,2500278
9.299144,1.9775516,-2.8205528,,2500298
9.288203,1.9764012,-2.8241477,,2500318
9.277896,1.9773139,-2.828962,,2500338
9.267789,1.9773796,-2.8330898,,2500358
9.258284,1.9749045,-2.835158,,2500378
9.245877,1.9704752,-2.8370004,,2500398
9.233671,1.965199,-2.8381562,,2500418
9.219196,1.9600315,-2.8403056,,2500438
9.203688,1.9544948,-2.8426085,,2500458
9.186111,1.94822,-2.8452184,,2500478
9.171405,1.9392958,-2.8447752,,2500498
9.1568985,1.9295245,-2.8436453,,2500518
9.143025,1.9218162,-2.843735,,2500538
9.13102,1.915693,-2.8442042,,2500558
9.11798,1.9092008,-2.844827,,2500578
9.103505,1.9040333,-2.8469763,,2500598
9.0896635,1.9009287,-2.8503451,,2500618
9.080992,1.8996696,-2.8529463,,2500638
9.076455,1.8998871,-2.8549335,,2500658
9.069651,1.9002132,-2.8579142,,2500678
9.055609,1.8979555,-2.8619697,,2500698
9.038064,1.8962843,-2.8678586,,2500718
9.020921,1.8929193,-2.8723745,,2500738
9.005412,1.8873826,-2.8746774,,2500758
8.98907,1.88063,-2.8764472,,2500778
8.974997,1.8737687,-2.8772235,,2500798
8.961123,1.8660604,-2.8773131,,2500818
8.952852,1.8631076,-2.8785412,,2500838
