-21.881601,13.299988,-18.000862,,965097
-21.882107,13.299808,-18.000937,,965117
-21.882612,13.299627,-18.00101,,965137
-21.883118,13.299447,-18.001085,,965157
-21.883623,13.299267,-18.00116,,965177
-21.883926,13.29824,-18.000547,,965197
-21.884432,13.298059,-18.000622,,965217
-21.884937,13.297879,-18.000696,,965237
-21.885443,13.297699,-18.00077,,965257
-21.885948,13.297519,-18.000845,,965277
-21.886454,13.2973385,-18.00092,,965297
-21.88696,13.297158,-18.000994,,965317
-21.887465,13.296978,-18.001068,,965337
-21.88797,13.296798,-18.001143,,965357
-21.888475,13.2966175,-18.001217,,965377
-21.88898,13.296437,-18.001291,,965397
-21.889486,13.296257,-18.001366,,965417
-21.889992,13.296077,-18.00144,,965437
-21.890497,13.295897,-18.001514,,965457
-21.891003,13.295716,-18.001589,,965477
-21.891508,13.295536,-18.001663,,965497
-21.892014,13.295356,-18.001738,,965517
-21.892519,13.295176,-18.001812,,965537
-21.893024,13.294995,-18.001886,,965557
-21.89353,13.294815,-18.00196,,965577
-21.894035,13.294635,-18.002035,,965597
-21.89454,13.294455,-18.00211,,965617
-21.895247,13.295121,-18.00287,,965637
-21.896986,13.295419,-18.003786,,965657
-21.897692,13.296085,-18.004547,,965677
-21.898397,13.296752,-18.005308,,965697
-21.898903,13.296572,-18.005383,,965717
-21.899408,13.2963915,-18.005457,,965737
-21.899914,13.296211,-18.005531,,965757
-21.90042,13.296031,-18.005606,,965777
-21.900925,13.295851,-18.00568,,965797
-21.90143,13.2956705,-18.005754,,965817
-21.902136,13.296337,-18.006516,,965837
-21.902641,13.296157,-18.00659,,965857
-21.903147,13.295977,-18.006664,,965877
-21.903652,13.295796,-18.006739,,965897
-21.904158,13.295616,-18.006813,,965917
-21.904663,13.295436,-18.006887,,965937
-21.904966,13.294409,-18.006275,,965957
-21.905472,13.294229,-18.00635,,965977
-21.905977,13.294048,-18.006424,,965997
-21.907717,13.294346,-18.00734,,966017
-21.908222,13.294166,-18.007414,,966037
-21.908728,13.293985,-18.007488,,966057
-21.909233,13.293805,-18.007563,,966077
-21.909739,13.293625,-18.007637,,966097
-21.910244,13.293445,-18.007711,,966117
-21.91075,13.293264,-18.007786,,966137
-21.911255,13.293084,-18.00786,,966157
-21.912994,13.293382,-18.008776,,966177
-21.9135,13.293201,-18.00885,,966197
-21.914005,13.293021,-18.008924,,966217
-21.91451,13.292841,-18.008999,,966237
-21.915016,13.292661,-18.009073,,966257
-21.915522,13.29248,-18.009148,,966277
-21.916027,13.2923,-18.009222,,966297
-21.916533,13.29212,-18.009296,,966317
-21.917038,13.29194,-18.00937,,966337
-21.917543,13.2917595,-18.009445,,966357
